quarter,name,teacher,exceptions,price,maxStudents,weekday,startTime,endTime,room,startAge,endAge,link,status,condition,location,description
2024 2 Spring,Beyond the Family Tree,Allison Rozell Tatum,No class April 3,115,8,Wednesday,10:00 AM,11:00 AM,Room 3,7,18,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-beyond-the-family-tree/58879,,,,"Join us as we explore individual and family culture. Each of us has a support network, and families can be formed in many ways. Through a variety of creative projects, students will focus on the stories and traditions that make them unique."
2024 2 Spring,Circus Arts,Six Impossible Things,,180,10,Wednesday,2:30 PM,3:30 PM,Room 2,11,18,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-circus-arts/58878,,,,"Come and join the circus for a session! Seemingly complicated skills such as juggling, acrobatics, and tumbling are broken down so that anyone can learn and experience success. In this introduction to circus arts, students will be able to find that practice and hard work can make the impossible possible."
2024 2 Spring,Hip Hop and Jazz Dance,Metropolis Dance,,175,12,Wednesday,12:30 PM,1:30 PM,Room 4,7,11,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-hiphop-jazz/58888,,,,"Learn the fundamentals of Hip-Hop and Jazz dance in this fun fusion class! Both styles will be incorporated through basic movement, activities, and games. A choreographed dance will be taught throughout the session to perform on the last day of class!"
2024 2 Spring,Papier Mache,Stephanie Burkemoore,,165,12,Wednesday,11:00 AM,12:00 PM,Room 4,9,18,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-papier-mache/58884,Full,,,"In this sometimes-messy, always hands-on class you’ll learn and complete the basic steps to creating a small papier mache project. A couple of techniques will be introduced with time to practice. No experience is necessary. Supplies - including wheat-based flour, salt, and newspaper - will be provided."
2024 2 Spring,Parkour at 11,Six Impossible Things,,180,10,Wednesday,11:00 AM,12:00 PM,Gym,7,12,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-parkour/58883,Full,,,"Parkour is an art as old as humans: finding the most efficient way with only your body to get from point A to point B. Seen in action movie chases or even in a playground game of tag, parkour unleashes your inner monkey as you run, climb, and vault your way through obstacles. This class focuses on finding safe and legal ways to pursue this art that can make participants feel free in their bodies. This class will meet inside for warmups, the second half of the class will be held outside."
2024 2 Spring,Parkour at 12:30,Six Impossible Things,,180,10,Wednesday,12:30 PM,1:30 PM,Room 2,7,12,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-parkour/58882,Full,,,"Parkour is an art as old as humans: finding the most efficient way with only your body to get from point A to point B. Seen in action movie chases or even in a playground game of tag, parkour unleashes your inner monkey as you run, climb, and vault your way through obstacles. This class focuses on finding safe and legal ways to pursue this art that can make participants feel free in their bodies. This class will meet inside for warmups, the second half of the class will be held outside."
2024 2 Spring,Quilting,Stefanie Kahler,,127,8,Wednesday,10:30 AM,12:00 PM,Room 2,12,18,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-quilting/58881,,,,"Winter got you feeling cold? Come warm up as you create your own quilt! We'll be using sewing machines to make functional art. New students learn machine safety and sewing techniques, while more experienced students expand their skills. Supplies not included, please see supply list."
2024 2 Spring,Tinkergarten,Malinda Sorci,,175,10,Wednesday,10:00 AM,11:00 AM,Outdoors,2,8,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-tinkergarten/58886,,,,"Through outdoor exploration following Tinkergarten’s curriculum, students and their grown-ups will use song, movement, and purposeful play to capture imagination, connect with nature, and build key skills needed for students to thrive. Each season has a different focus, but we will always learn about animals while nurturing our innate sense of curiosity. I can’t wait to see you outside!"
2024 2 Spring,Tumbling,Six Impossible Things,,170,10,Wednesday,1:30 PM,2:30 PM,Room 2,7,12,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-tumbling/58887,Full,,,"Cartwheel, roll, or even flip your way into tumbling! This all levels course promises to improve your tumbling skills in a safe, fun, and disciplined atmosphere. Various skills like round offs or front tucks are introduced and broken down into manageable drills so participants can move at their own pace. Individualized instruction assures that each student may meet a personal challenge in every class and consistently progress. Get ready to stand in your hands and jump off your feet!"
2024 2 Spring,Unraveling Recess Games,Malinda Sorci,,155,12,Wednesday,12:30 PM,1:30 PM,Gym,6,12,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-unraveling-recess-games/58877,,,,"Come play with us! Using recess games as a backdrop, we will explore a variety of interpersonal skills that encourage social-emotional growth. We will learn the rules and histories of various outdoor games (and even create some of our own), all the while deepening our sense of community and growing empathy."
2024 2 Spring,Watercolor,Shannon Hillinger,,105,15,Wednesday,1:30 PM,2:30 PM,Room 4,9,18,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-watercolor/58890,Full,,,"In this class we will focus on the basic techniques of watercolor. Each week we will practice a skill and then do a painting that uses that technique. You will get the chance to paint many things, from galaxies to penguins."
2024 2 Spring,Weather Science,Shannon Hillinger,,105,12,Wednesday,10:00 AM,11:00 AM,Room 4,3,8,https://apm.activecommunities.com/seattle/Activity_Search/homeschool-weather-science/58880,,,,Why does it rain? How do tornadoes form? What is a scattered shower? In this class we will do hands on projects to learn about and experience weather of all kinds.No actual tornadoes will be brought into the classroom. But there may be snow!
2024 2 Spring,Homeschool Spring Baking,grettie’s goodies,No class April 8,350 for seven / $50 for one,,Monday,9:30 AM,12:00 PM,Offsite,6,11,https://www.grettiesgoodies.com/home-school-baking-classes,,Mondays: March 25 - May 13,"2201 Northwest 85th Street, Seattle","Each week our young bakers will create two delicious items, usually one sweet and one savory. Bakers take home everything they make."
2024 2 Spring,Fish Hawk ~ Wednesdays,Briana McFarland,,430 / $380 sibling rate,,Wednesday,9:30 AM,11:30 AM,Offsite,7,9,https://www.ignitenatureconnection.com/program/fish-hawk-spring-session-2024-wednesdays-at-carkeek-park,,,Carkeek Park,"This is a weekly program designed for children to become immersed in a community who come together in the outdoors to build on the skills and practices of nature connection. A collective environment which allows children to build community through shared experiences and deepen connection with earth and each other. We begin each day with an acknowledgement of gratitude for the natural world around us and everything that it provides. Children learn quickly and authentically to identify all of the things around them in which they are grateful for. This is a precious and important practice and a theme that is held throughout the day. Students are taught how to safely use knives as tools for skills such as fire building, carving and crafting. There is a strong focus on community building through working together on shelter creating, fire building, cooperative nature games and conflict resolution."
2024 2 Spring,Fish Hawk ~ Thursdays,Briana McFarland,No class April 11,860 / $700 sibling rate,,Thursday,9:30 AM,12:00 PM,Offsite,6,11,https://www.ignitenatureconnection.com/program/fish-hawk-spring-session-2024-thursdays-at-carkeek-park,,Thursdays: March 28 - May 30,Carkeek Park,"This is a weekly program designed for children to become immersed in a community who come together in the outdoors to build on the skills and practices of nature connection. A collective environment which allows children to build community through shared experiences and deepen connection with earth and each other. We begin each day with an acknowledgement of gratitude for the natural world around us and everything that it provides. Children learn quickly and authentically to identify all of the things around them in which they are grateful for. This is a precious and important practice and a theme that is held throughout the day. Students are taught how to safely use knives as tools for skills such as fire building, carving and crafting. There is a strong focus on community building through working together on shelter creating, fire building, cooperative nature games and conflict resolution."
2024 2 Spring,Break,,,,,Wednesday,12:00 PM,12:30 PM,All,,,,,,,
2024 2 Spring,Open Gym,,,,,Wednesday,1:30 PM,3:30 PM,Gym,,,,,,,
2024 2 Spring,Park Play,,,,,Wednesday,12:30 PM,3:30 PM,Outdoors,,,,,,,
2024 1 Winter,Continuing Recorders and Music,EllenAnn Chiddix-Johnston,,170,15,Wednesday,1:30 PM,2:30 PM,Room 1,6,18,https://anc.apm.activecommunities.com/seattle/activity/search/detail/56990,,,,"Come join us in continuing to play soprano recorder! This second introductory class will help further students’ understanding of music: beat, rhythm, dynamics, and time signatures, plus much more. Students will continue learning to read treble clef music, concepts of melody and harmony, as well as musical forms including Rounds, Call and Response, Duets, Waltzes, and be exposed to different cultural forms of music. Prerequisites include previous recorder class or ability to read basic treble clef."
2023 3 Fall,Celebrating the Season: Autumn,Sara Cammeresi,,165,,Wednesday,12:00 PM,1:00 PM,Room 3,,,,,,,
2023 3 Fall,Circus Arts,Six Impossible Things,,270,,Wednesday,1:15 PM,2:45 PM,Room 2,,,,,,,
2023 3 Fall,Crafting for Charity,Stefanie Kahler,,80,,Wednesday,11:00 AM,12:00 PM,Room 3,,,,,"Class only on Oct 18, Oct 25, Nov 1",,
2023 3 Fall,Ecology Games and Crafts,Stephanie Burkemoore,,165,,Wednesday,11:00 AM,12:00 PM,Room 4,,,,,,,
2023 3 Fall,Family Dance,Metropolis Dance,,165,,Wednesday,11:00 AM,12:00 PM,Gym,,,,Canceled,,,
2023 3 Fall,Hip Hop,Metropolis Dance,,165,,Wednesday,12:00 PM,1:00 PM,Gym,,,,,,,
2023 3 Fall,Math Explorations,Elizabeth Black,,100,,Wednesday,10:00 AM,11:00 AM,Room 2,,,,,,,
2023 3 Fall,Parkour - Older Kids,Six Impossible Things,,180,,Wednesday,2:45 PM,3:45 PM,Room 2,,,,Canceled,Class ends outside!,,
2023 3 Fall,Parkour - Younger Kids,Six Impossible Things,,180,,Wednesday,11:00 AM,12:00 PM,Room 2,,,,,,,
2023 3 Fall,Philosophy,PLATO Philosophy,"No class Oct 18, Oct 25, Nov 1",170,,Wednesday,11:00 AM,12:00 PM,Room 3,,,,,,,
2023 3 Fall,Recorders,EllenAnn Chiddix-Johnston,,170,,Wednesday,1:15 PM,2:15 PM,Room 4,,,,,,,
2023 3 Fall,Tinkergarten,Malinda Sorci,,135,,Wednesday,10:00 AM,11:00 AM,Outdoors,,,,,,,
2023 3 Fall,Tumbling,Six Impossible Things,,165,,Wednesday,12:00 PM,1:00 PM,Room 2,,,,,,,
2023 3 Fall,You VS Animals - Older Kids,Shannon Hillinger,No class Nov 8,100,,Wednesday,2:15 PM,3:15 PM,Room 4,,,,,,,
2023 3 Fall,You VS Animals - Younger Kids,Shannon Hillinger,No class Nov 8,100,,Wednesday,12:00 PM,1:00 PM,Room 4,,,,,,,
2023 3 Fall,Teen and Tween Club,,,,,Wednesday,10:00 AM,11:00 AM,Room 3,,,,,No registration needed,,
2023 3 Fall,Baking,grettie’s goodies,,450 for nine / $50 for one,,Wednesday,9:30 AM,12:00 PM,Offsite,,,,,,"2201 Northwest 85th Street, Seattle",
2023 3 Fall,Fish Hawk ~ Thursdays,Briana McFarland,No class Oct 19,770 / $640 sibling rate,,Thursday,10:00 AM,2:00 PM,Offsite,8,13,,,Thursdays: Sep 21 - Nov 16,Carkeek Park,
2023 3 Fall,Break,,,,,Wednesday,1:00 PM,1:15 PM,All,,,,,,,
2024 3 Fall,Anthropology of Cultural Beliefs,Karen Radcliff,,170,10,Wednesday,12:30 PM,1:30 PM,Room 4,10,18,https://anc.apm.activecommunities.com/seattle/activity/search/detail/62211,,,,"In this class, we will delve into the study of belief systems, which serve as cultural phenomena through which humans seek to comprehend and connect with the universe. We will explore diverse belief systems and their associated ideas from various cultures, as well as broader concepts from cultural anthropology. Topics will include the role of belief systems in shaping social structures, cultural values, and ideologies."
2024 3 Fall,Art Adventure ,Stefanie Kahler,,100,10,Wednesday,10:00 AM,11:00 AM,Room 4,5,9,https://anc.apm.activecommunities.com/seattle/activity/search/detail/62204,,,,Let’s have an adventure exploring different styles of art and art media. Priority will be placed on process over product and on meeting each child where they are in their personal and artistic development. I look forward to making art together!
2024 3 Fall,Civics (12-18),Shannon Hillinger,,90,12,Wednesday,11:00 AM,12:00 PM,Room 4,12,18,https://anc.apm.activecommunities.com/seattle/activity/search/detail/62202,,,,"We will cover how the government is organized, rights and duties of citizenship including voting, and how to decide which way to vote (non partisan perspective). Our final project will be creating a voting guide."
2024 3 Fall,Civics (6-11),Shannon Hillinger,,90,12,Wednesday,1:30 PM,2:30 PM,Room 2,6,11,https://anc.apm.activecommunities.com/seattle/activity/search/detail/62201,Full,,,"Learn about the basics of how the government is organized, the Constitution, as well as how laws are made and repealed. For our final project, we will have a mock election."
2024 3 Fall Canceled,Dungeons & Dragons,Elihu Hillinger,,90,6,Wednesday,12:30 PM,1:30 PM,Room 2,8,12,https://anc.apm.activecommunities.com/seattle/activity/search/detail/62203,,,,"Do you like role playing games? Learn how to play Dungeons and Dragons with us! We'll create characters, play as a team, and try to conquer dungeons!"
2024 3 Fall,Fiber Arts ,Karen Radcliff,,170,8,Wednesday,1:30 PM,2:30 PM,Room 4,11,18,https://anc.apm.activecommunities.com/seattle/activity/search/detail/62210,,,,"In this introduction to fiber arts, we will try our hands at several techniques used the world over in the making of cloth, whether for garments or for other uses, as well as discuss many more. Plan to spin your own yarn, knit, and try different types of weaving. We will also make brief forays into crocheting and sprang, learn a bit about nalbinding and lacemaking, discuss the properties of different textile fibers, and share a bit of textile history while we work. No prior experience is necessary. I will provide all the needed patterns and materials."
